#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151647228
#Date Time: 2024-04-18 17:24:44.645
#Sample rate: 1.6e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
0.001695849609375,-0.9736089326472108
0.001696474609375,-0.9684796496607547
0.001697099609375,-0.9684796496607547
0.001697724609375,-0.9736089326472108
0.001698349609375,-0.9633503666742986
0.001698974609375,-0.9633503666742986
0.001699599609375,-0.9736089326472108
0.001700224609375,-0.9633503666742986
0.001700849609375,-0.9633503666742986
0.001701474609375,-0.9736089326472108
0.001702099609375,-0.9582210836878425
0.001702724609375,-0.9582210836878425
0.001703349609375,-0.9684796496607547
0.001703974609375,-0.9633503666742986
0.001704599609375,-0.9633503666742986
0.001705224609375,-0.9633503666742986
0.001705849609375,-0.9582210836878425
0.001706474609375,-0.9582210836878425
0.001707099609375,-0.9633503666742986
0.001707724609375,-0.9582210836878425
0.001708349609375,-0.9530918007013864
0.001708974609375,-0.9530918007013864
0.001709599609375,-0.9530918007013864
0.001710224609375,-0.9530918007013864
0.001710849609375,-0.9530918007013864
0.001711474609375,-0.9479625177149303
0.001712099609375,-0.9428332347284742
0.001712724609375,-0.9479625177149303
0.001713349609375,-0.9428332347284742
0.001713974609375,-0.9428332347284742
0.001714599609375,-0.9428332347284742
0.001715224609375,-0.9428332347284742
0.001715849609375,-0.9428332347284742
0.001716474609375,-0.9428332347284742
0.001717099609375,-0.9377039517420181
0.001717724609375,-0.9428332347284742
0.001718349609375,-0.9377039517420181
0.001718974609375,-0.9325746687555621
0.001719599609375,-0.9377039517420181
0.001720224609375,-0.9377039517420181
0.001720849609375,-0.9325746687555621
0.001721474609375,-0.9325746687555621
0.001722099609375,-0.9377039517420181
0.001722724609375,-0.9274453857691058
0.001723349609375,-0.9223161027826497
0.001723974609375,-0.9325746687555621
0.001724599609375,-0.9223161027826497
0.001725224609375,-0.9223161027826497
0.001725849609375,-0.9274453857691058
0.001726474609375,-0.9223161027826497
0.001727099609375,-0.9120575368097376
