#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151A2B6A6
#Date Time: 2024-05-23 17:46:07.209
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 50 Hz
#Amplitude: 500 mV
#Offset: 500 mV
#Symmetry: 50 %
#Phase: 0 ¡Æ

Time (s),Channel 1 (V),Channel 2 (V)
-0.0240704,-0.0110185,0.0158995
-0.0240642,-0.00618497,0.0158995
-0.0240579,-0.0110185,0.0158995
-0.0240517,-0.0110185,0.0158995
-0.0240454,-0.00618497,0.0158995
-0.0240392,-0.0110185,0.0110974
-0.0240329,-0.0110185,0.0158995
-0.0240267,-0.0110185,0.0158995
-0.0240204,-0.0110185,0.0158995
-0.0240142,-0.00618497,0.0158995
-0.0240079,-0.0110185,0.0158995
-0.0240017,-0.0110185,0.0158995
-0.0239954,-0.00618497,0.0158995
-0.0239892,-0.0110185,0.0158995
-0.0239829,-0.0110185,0.0158995
-0.0239767,-0.0110185,0.0158995
-0.0239704,-0.0110185,0.0110974
-0.0239642,-0.0110185,0.0158995
-0.0239579,-0.0110185,0.0158995
-0.0239517,-0.0110185,0.0110974
-0.0239454,-0.0110185,0.0110974
-0.0239392,-0.00618497,0.0158995
-0.0239329,-0.0110185,0.0158995
-0.0239267,-0.00618497,0.0158995
-0.0239204,-0.00618497,0.0110974
-0.0239142,-0.0110185,0.0110974
-0.0239079,-0.0110185,0.0110974
-0.0239017,-0.0110185,0.0110974
-0.0238954,-0.0110185,0.0110974
-0.0238892,-0.00618497,0.0158995
-0.0238829,-0.0110185,0.0110974
-0.0238767,-0.0110185,0.0110974
-0.0238704,-0.00618497,0.0110974
-0.0238642,-0.0110185,0.0110974
-0.0238579,-0.00618497,0.0158995
-0.0238517,-0.00618497,0.0158995
-0.0238454,-0.0110185,0.0110974
-0.0238392,-0.0110185,0.0110974
-0.0238329,-0.0110185,0.0110974
-0.0238267,-0.0110185,0.0110974
-0.0238204,-0.0110185,0.0110974
-0.0238142,-0.00618497,0.0158995
-0.0238079,-0.0110185,0.0110974
-0.0238017,-0.0110185,0.0110974
-0.0237954,-0.0110185,0.0110974
-0.0237892,-0.0110185,0.0110974
-0.0237829,-0.00618497,0.0158995
-0.0237767,-0.00618497,0.0110974
-0.0237704,-0.00618497,0.0110974
-0.0237642,-0.00618497,0.0110974
-0.0237579,-0.0110185,0.0110974
-0.0237517,-0.0110185,0.0110974
-0.0237454,-0.00618497,0.0110974
-0.0237392,-0.00618497,0.0110974
-0.0237329,-0.0110185,0.0110974
-0.0237267,-0.00618497,0.0110974
-0.0237204,-0.0110185,0.0110974
-0.0237142,-0.0110185,0.0110974
-0.0237079,-0.0110185,0.0110974
-0.0237017,-0.00618497,0.0110974
-0.0236954,-0.00618497,0.0110974
-0.0236892,-0.00618497,0.0110974
-0.0236829,-0.0110185,0.0110974
-0.0236767,-0.0110185,0.0110974
-0.0236704,-0.0110185,0.0110974
-0.0236642,-0.0110185,0.0110974
-0.0236579,-0.00618497,0.0110974
-0.0236517,-0.0110185,0.0110974
-0.0236454,-0.0110185,0.0110974
-0.0236392,-0.00618497,0.0110974
-0.0236329,-0.00618497,0.0110974
-0.0236267,-0.0110185,0.0110974
-0.0236204,-0.00618497,0.0110974
-0.0236142,-0.0110185,0.0110974
-0.0236079,-0.0110185,0.0110974
-0.0236017,-0.00618497,0.0110974
-0.0235954,-0.0110185,0.0110974
-0.0235892,-0.0110185,0.00629525
-0.0235829,-0.00618497,0.0110974
-0.0235767,-0.00618497,0.0110974
-0.0235704,-0.00618497,0.0110974
-0.0235642,-0.00618497,0.0110974
-0.0235579,-0.0110185,0.0110974
-0.0235517,-0.00618497,0.0110974
-0.0235454,-0.0110185,0.0110974
-0.0235392,-0.0110185,0.0110974
-0.0235329,-0.00618497,0.0110974
-0.0235267,-0.0110185,0.0110974
-0.0235204,-0.0110185,0.0110974
-0.0235142,-0.00618497,0.0110974
-0.0235079,-0.0110185,0.0110974
-0.0235017,-0.0110185,0.0110974
-0.0234954,-0.00618497,0.0110974
-0.0234892,-0.0110185,0.0110974
-0.0234829,-0.0110185,0.0110974
-0.0234767,-0.00618497,0.0110974
-0.0234704,-0.0110185,0.0110974
-0.0234642,-0.0110185,0.0110974
-0.0234579,-0.00618497,0.0110974
-0.0234517,-0.0110185,0.00629525
-0.0234454,-0.0110185,0.0110974
-0.0234392,-0.00618497,0.0110974
-0.0234329,-0.0110185,0.0110974
-0.0234267,-0.0110185,0.0110974
-0.0234204,-0.00618497,0.0110974
-0.0234142,-0.00618497,0.0110974
-0.0234079,-0.00618497,0.0110974
-0.0234017,-0.0110185,0.0110974
-0.0233954,-0.0110185,0.0110974
-0.0233892,-0.0110185,0.0110974
-0.0233829,-0.0110185,0.00629525
-0.0233767,-0.0110185,0.00629525
-0.0233704,-0.00618497,0.0110974
-0.0233642,-0.00618497,0.0110974
-0.0233579,-0.0110185,0.0110974
-0.0233517,-0.0110185,0.0110974
-0.0233454,-0.0110185,0.00629525
-0.0233392,-0.00618497,0.0110974
-0.0233329,-0.0110185,0.0110974
-0.0233267,-0.0110185,0.00629525
-0.0233204,-0.0110185,0.0110974
-0.0233142,-0.00618497,0.0110974
-0.0233079,-0.0110185,0.00629525
-0.0233017,-0.0110185,0.00629525
-0.0232954,-0.0110185,0.00629525
-0.0232892,-0.0110185,0.00629525
-0.0232829,-0.0110185,0.00629525
-0.0232767,-0.00618497,0.0110974
-0.0232704,-0.0110185,0.00629525
-0.0232642,-0.00618497,0.0110974
-0.0232579,-0.0110185,0.0110974
-0.0232517,-0.0110185,0.00629525
-0.0232454,-0.0110185,0.0110974
-0.0232392,-0.0110185,0.00629525
-0.0232329,-0.00618497,0.0110974
-0.0232267,-0.00618497,0.00629525
-0.0232204,-0.0110185,0.00629525
-0.0232142,-0.0110185,0.00629525
-0.0232079,-0.0110185,0.00629525
-0.0232017,-0.0110185,0.00629525
-0.0231954,-0.0110185,0.00629525
-0.0231892,-0.0110185,0.00629525
-0.0231829,-0.0110185,0.00629525
-0.0231767,-0.00618497,0.0110974
-0.0231704,-0.00618497,0.0110974
-0.0231642,-0.0110185,0.00629525
-0.0231579,-0.0110185,0.00629525
-0.0231517,-0.00618497,0.00629525
-0.0231454,-0.0110185,0.00629525
-0.0231392,-0.0110185,0.00629525
-0.0231329,-0.0110185,0.00629525
-0.0231267,-0.0110185,0.00629525
-0.0231204,-0.0110185,0.00629525
-0.0231142,-0.00618497,0.00629525
-0.0231079,-0.00618497,0.0110974
-0.0231017,-0.00618497,0.0110974
-0.0230954,-0.00618497,0.00629525
-0.0230892,-0.0110185,0.00629525
-0.0230829,-0.00618497,0.0110974
-0.0230767,-0.0110185,0.00629525
-0.0230704,-0.0110185,0.00629525
-0.0230642,-0.00618497,0.00629525
-0.0230579,-0.00618497,0.00629525
-0.0230517,-0.00618497,0.00629525
-0.0230454,-0.0110185,0.00629525
-0.0230392,-0.0110185,0.00629525
-0.0230329,-0.00618497,0.00629525
-0.0230267,-0.0110185,0.00629525
-0.0230204,-0.0110185,0.00629525
-0.0230142,-0.00618497,0.00629525
-0.0230079,-0.0110185,0.00629525
-0.0230017,-0.0110185,0.00629525
-0.0229954,-0.00618497,0.00629525
-0.0229892,-0.0110185,0.00629525
-0.0229829,-0.0110185,0.00629525
-0.0229767,-0.00618497,0.00629525
-0.0229704,-0.0110185,0.00629525
-0.0229642,-0.0110185,0.00629525
-0.0229579,-0.00618497,0.00629525
-0.0229517,-0.0110185,0.00629525
-0.0229454,-0.00618497,0.00629525
-0.0229392,-0.0110185,0.00629525
-0.0229329,-0.0110185,0.00629525
-0.0229267,-0.0110185,0.00629525
-0.0229204,-0.00618497,0.00629525
-0.0229142,-0.0110185,0.00629525
-0.0229079,-0.00618497,0.00629525
-0.0229017,-0.00618497,0.00629525
-0.0228954,-0.0110185,0.00629525
-0.0228892,-0.00618497,0.00629525
-0.0228829,-0.00618497,0.00629525
-0.0228767,-0.0110185,0.00629525
-0.0228704,-0.00618497,0.00629525
-0.0228642,-0.0110185,0.00629525
-0.0228579,-0.0110185,0.00629525
